b_m,phi_deg,J_m,in_region_eta15
172.727,-10.667,,0
172.727,-8.889,,0
172.727,-7.111,,0
172.727,-5.333,,0
172.727,-3.556,,0
172.727,-1.778,,0
172.727,0.000,,0
172.727,1.778,,0
172.727,3.556,,0
172.727,5.333,,0
172.727,7.111,,0
172.727,8.889,,0
172.727,10.667,,0
172.727,12.444,,0
172.727,14.222,,0
172.727,16.000,,0
172.727,17.778,,0
172.727,19.556,,0
172.727,21.333,,0
172.727,23.111,,0
172.727,24.889,,0
172.727,26.667,,0
172.727,28.444,,0
172.727,30.222,,0
172.727,32.000,,0
172.727,33.778,,0
172.727,35.556,,0
172.727,37.333,,0
172.727,39.111,,0
172.727,40.889,,0
172.727,42.667,,0
172.727,44.444,,0
172.727,46.222,,0
172.727,48.000,,0
172.727,49.778,,0
172.727,51.556,,0
172.727,53.333,,0
172.727,55.111,,0
172.727,56.889,,0
172.727,58.667,,0
172.727,60.444,,0
172.727,62.222,,0
172.727,64.000,,0
172.727,65.778,,0
172.727,67.556,,0
172.727,69.333,,0
172.727,71.111,,0
172.727,72.889,,0
172.727,74.667,,0
172.727,76.444,,0
172.727,78.222,,0
172.727,80.000,,0
209.091,-80.000,,0
209.091,-78.222,,0
209.091,-76.444,,0
209.091,-74.667,,0
209.091,-72.889,,0
209.091,-71.111,,0
209.091,-69.333,,0
209.091,-67.556,,0
209.091,-65.778,,0
209.091,-64.000,,0
209.091,-62.222,,0
209.091,-60.444,,0
209.091,-58.667,,0
209.091,-56.889,,0
209.091,-55.111,,0
209.091,-53.333,,0
209.091,-51.556,,0
209.091,-49.778,,0
209.091,-48.000,,0
209.091,-46.222,,0
209.091,-44.444,,0
209.091,-42.667,,0
209.091,-40.889,,0
209.091,-39.111,,0
209.091,-37.333,,0
209.091,-35.556,,0
209.091,-33.778,,0
209.091,-32.000,,0
209.091,-30.222,,0
209.091,-28.444,,0
209.091,-26.667,,0
209.091,-24.889,,0
209.091,-23.111,,0
209.091,-21.333,,0
209.091,-19.556,,0
209.091,-17.778,,0
209.091,-16.000,,0
209.091,-14.222,,0
209.091,-12.444,,0
209.091,-10.667,,0
209.091,-8.889,,0
209.091,-7.111,,0
209.091,-5.333,,0
209.091,-3.556,,0
209.091,-1.778,,0
209.091,0.000,,0
209.091,1.778,,0
209.091,3.556,,0
209.091,5.333,,0
209.091,7.111,,0
209.091,8.889,,0
209.091,10.667,,0
209.091,12.444,,0
209.091,14.222,,0
209.091,16.000,,0
209.091,17.778,,0
209.091,19.556,,0
209.091,21.333,,0
209.091,23.111,,0
209.091,24.889,,0
209.091,26.667,,0
209.091,28.444,,0
209.091,30.222,,0
209.091,32.000,,0
209.091,33.778,,0
209.091,35.556,,0
209.091,37.333,,0
209.091,39.111,,0
209.091,40.889,,0
209.091,42.667,,0
209.091,44.444,,0
209.091,46.222,,0
209.091,48.000,,0
209.091,49.778,,0
209.091,51.556,,0
209.091,53.333,,0
209.091,55.111,,0
209.091,56.889,,0
209.091,58.667,,0
209.091,60.444,,0
209.091,62.222,,0
209.091,64.000,,0
209.091,65.778,,0
209.091,67.556,,0
209.091,69.333,,0
209.091,71.111,,0
209.091,72.889,,0
209.091,74.667,,0
209.091,76.444,,0
209.091,78.222,,0
209.091,80.000,,0
245.455,-80.000,,0
245.455,-78.222,,0
245.455,-76.444,,0
245.455,-74.667,,0
245.455,-72.889,,0
245.455,-71.111,,0
245.455,-69.333,,0
245.455,-67.556,,0
245.455,-65.778,,0
245.455,-64.000,,0
245.455,-62.222,,0
245.455,-60.444,,0
245.455,-58.667,,0
245.455,-56.889,,0
245.455,-55.111,,0
245.455,-53.333,,0
245.455,-51.556,,0
245.455,-49.778,,0
245.455,-48.000,,0
245.455,-46.222,,0
245.455,-44.444,,0
245.455,-42.667,,0
245.455,-40.889,,0
245.455,-39.111,,0
245.455,-37.333,,0
245.455,-35.556,,0
245.455,-33.778,,0
245.455,-32.000,,0
245.455,-30.222,,0
245.455,-28.444,,0
245.455,-26.667,,0
245.455,-24.889,,0
245.455,-23.111,,0
245.455,-21.333,,0
245.455,-19.556,,0
245.455,-17.778,,0
245.455,-16.000,,0
245.455,-14.222,,0
245.455,-12.444,,0
245.455,-10.667,,0
245.455,-8.889,,0
245.455,-7.111,,0
245.455,-5.333,,0
245.455,-3.556,,0
245.455,-1.778,,0
245.455,0.000,,0
245.455,1.778,,0
245.455,3.556,,0
245.455,5.333,,0
245.455,7.111,,0
245.455,8.889,,0
245.455,10.667,,0
245.455,12.444,,0
245.455,14.222,,0
245.455,16.000,,0
245.455,17.778,,0
245.455,19.556,,0
245.455,21.333,,0
245.455,23.111,,0
245.455,24.889,,0
245.455,26.667,,0
245.455,28.444,,0
245.455,30.222,,0
245.455,32.000,,0
245.455,33.778,,0
245.455,35.556,,0
245.455,37.333,,0
245.455,39.111,,0
245.455,40.889,,0
245.455,42.667,,0
245.455,44.444,,0
245.455,46.222,,0
245.455,48.000,,0
245.455,49.778,,0
245.455,51.556,,0
245.455,53.333,,0
245.455,55.111,,0
245.455,56.889,,0
245.455,58.667,,0
245.455,60.444,,0
245.455,62.222,,0
245.455,64.000,,0
245.455,65.778,,0
245.455,67.556,,0
245.455,69.333,,0
245.455,71.111,,0
245.455,72.889,,0
245.455,74.667,,0
245.455,76.444,,0
245.455,78.222,,0
245.455,80.000,,0
281.818,-80.000,,0
281.818,-78.222,,0
281.818,-76.444,,0
281.818,-74.667,,0
281.818,-72.889,,0
281.818,-71.111,,0
281.818,-69.333,,0
281.818,-67.556,,0
281.818,-65.778,,0
281.818,-64.000,,0
281.818,-62.222,,0
281.818,-60.444,,0
281.818,-58.667,,0
281.818,-56.889,,0
281.818,-55.111,,0
281.818,-53.333,,0
281.818,-51.556,,0
281.818,-49.778,,0
281.818,-48.000,,0
281.818,-46.222,,0
281.818,-44.444,,0
281.818,-42.667,,0
281.818,-40.889,,0
281.818,-39.111,,0
281.818,-37.333,,0
281.818,-35.556,,0
281.818,-33.778,,0
281.818,-32.000,,0
281.818,-30.222,,0
281.818,-28.444,,0
281.818,-26.667,,0
281.818,-24.889,,0
281.818,-23.111,,0
281.818,-21.333,,0
281.818,-19.556,,0
281.818,-17.778,,0
281.818,-16.000,,0
281.818,-14.222,,0
281.818,-12.444,,0
281.818,-10.667,,0
281.818,-8.889,,0
281.818,-7.111,,0
281.818,-5.333,,0
281.818,-3.556,,0
281.818,-1.778,,0
281.818,0.000,,0
281.818,1.778,,0
281.818,3.556,,0
281.818,5.333,,0
281.818,7.111,,0
281.818,8.889,,0
281.818,10.667,,0
281.818,12.444,,0
281.818,14.222,,0
281.818,16.000,,0
281.818,17.778,,0
281.818,19.556,,0
281.818,21.333,,0
281.818,23.111,,0
281.818,24.889,,0
281.818,26.667,,0
281.818,28.444,,0
281.818,30.222,,0
281.818,32.000,,0
281.818,33.778,,0
281.818,35.556,,0
281.818,37.333,,0
281.818,39.111,,0
281.818,40.889,,0
281.818,42.667,,0
281.818,44.444,,0
281.818,46.222,,0
281.818,48.000,,0
281.818,49.778,,0
281.818,51.556,,0
281.818,53.333,,0
281.818,55.111,,0
281.818,56.889,,0
281.818,58.667,,0
281.818,60.444,,0
281.818,62.222,,0
281.818,64.000,,0
281.818,65.778,,0
281.818,67.556,,0
281.818,69.333,,0
281.818,71.111,,0
281.818,72.889,,0
281.818,74.667,,0
281.818,76.444,,0
281.818,78.222,,0
281.818,80.000,,0
318.182,-80.000,,0
318.182,-78.222,,0
318.182,-76.444,,0
318.182,-74.667,,0
318.182,-72.889,,0
318.182,-71.111,,0
318.182,-69.333,,0
318.182,-67.556,,0
318.182,-65.778,,0
318.182,-64.000,,0
318.182,-62.222,,0
318.182,-60.444,,0
318.182,-58.667,,0
318.182,-56.889,,0
318.182,-55.111,,0
318.182,-53.333,,0
318.182,-51.556,,0
318.182,-49.778,,0
318.182,-48.000,,0
318.182,-46.222,,0
318.182,-44.444,,0
318.182,-42.667,,0
318.182,-40.889,,0
318.182,-39.111,,0
318.182,-37.333,,0
318.182,-35.556,,0
318.182,-33.778,,0
318.182,-32.000,,0
318.182,-30.222,,0
318.182,-28.444,,0
318.182,-26.667,,0
318.182,-24.889,,0
318.182,-23.111,,0
318.182,-21.333,,0
318.182,-19.556,,0
318.182,-17.778,,0
318.182,-16.000,,0
318.182,-14.222,,0
318.182,-12.444,,0
318.182,-10.667,,0
318.182,-8.889,,0
318.182,-7.111,,0
318.182,-5.333,,0
318.182,-3.556,,0
318.182,-1.778,,0
318.182,0.000,,0
318.182,1.778,,0
318.182,3.556,,0
318.182,5.333,,0
318.182,7.111,,0
318.182,8.889,,0
318.182,10.667,,0
318.182,12.444,,0
318.182,14.222,,0
318.182,16.000,,0
318.182,17.778,,0
318.182,19.556,,0
318.182,21.333,,0
318.182,23.111,,0
318.182,24.889,,0
318.182,26.667,,0
318.182,28.444,,0
318.182,30.222,,0
318.182,32.000,,0
318.182,33.778,,0
318.182,35.556,,0
318.182,37.333,,0
318.182,39.111,,0
318.182,40.889,,0
318.182,42.667,,0
318.182,44.444,,0
318.182,46.222,,0
318.182,48.000,,0
318.182,49.778,,0
318.182,51.556,,0
318.182,53.333,,0
318.182,55.111,,0
318.182,56.889,,0
318.182,58.667,,0
318.182,60.444,,0
318.182,62.222,,0
318.182,64.000,,0
318.182,65.778,,0
318.182,67.556,,0
318.182,69.333,,0
318.182,71.111,,0
318.182,72.889,,0
318.182,74.667,,0
318.182,76.444,,0
318.182,78.222,,0
318.182,80.000,,0
354.545,-80.000,,0
354.545,-78.222,,0
354.545,-76.444,,0
354.545,-74.667,,0
354.545,-72.889,,0
354.545,-71.111,,0
354.545,-69.333,,0
354.545,-67.556,,0
354.545,-65.778,,0
354.545,-64.000,,0
354.545,-62.222,,0
354.545,-60.444,,0
354.545,-58.667,,0
354.545,-56.889,,0
354.545,-55.111,,0
354.545,-53.333,,0
354.545,-51.556,,0
354.545,-49.778,,0
354.545,-48.000,,0
354.545,-46.222,,0
354.545,-44.444,,0
354.545,-42.667,,0
354.545,-40.889,,0
354.545,-39.111,,0
354.545,-37.333,,0
354.545,-35.556,,0
354.545,-33.778,,0
354.545,-32.000,,0
354.545,-30.222,,0
354.545,-28.444,,0
354.545,-26.667,,0
354.545,-24.889,,0
354.545,-23.111,,0
354.545,-21.333,,0
354.545,-19.556,,0
354.545,-17.778,,0
354.545,-16.000,,0
354.545,-14.222,,0
354.545,-12.444,,0
354.545,-10.667,,0
354.545,-8.889,,0
354.545,-7.111,,0
354.545,-5.333,,0
354.545,-3.556,,0
354.545,-1.778,,0
354.545,0.000,,0
354.545,1.778,,0
354.545,3.556,,0
354.545,5.333,,0
354.545,7.111,,0
354.545,8.889,,0
354.545,10.667,,0
354.545,12.444,,0
354.545,14.222,,0
354.545,16.000,,0
354.545,17.778,,0
354.545,19.556,,0
354.545,21.333,,0
354.545,23.111,,0
354.545,24.889,,0
354.545,26.667,,0
354.545,28.444,,0
354.545,30.222,,0
354.545,32.000,,0
354.545,33.778,,0
354.545,35.556,,0
354.545,37.333,,0
354.545,39.111,,0
354.545,40.889,,0
354.545,42.667,,0
354.545,44.444,,0
354.545,46.222,,0
354.545,48.000,,0
354.545,49.778,,0
354.545,51.556,,0
354.545,53.333,,0
354.545,55.111,,0
354.545,56.889,,0
354.545,58.667,,0
354.545,60.444,,0
354.545,62.222,,0
354.545,64.000,,0
354.545,65.778,,0
354.545,67.556,,0
354.545,69.333,,0
354.545,71.111,,0
354.545,72.889,,0
354.545,74.667,,0
354.545,76.444,,0
354.545,78.222,,0
354.545,80.000,,0
390.909,-80.000,,0
390.909,-78.222,,0
390.909,-76.444,,0
390.909,-74.667,,0
390.909,-72.889,,0
390.909,-71.111,,0
390.909,-69.333,,0
390.909,-67.556,,0
390.909,-65.778,,0
390.909,-64.000,,0
390.909,-62.222,,0
390.909,-60.444,,0
390.909,-58.667,,0
390.909,-56.889,,0
390.909,-55.111,,0
390.909,-53.333,,0
390.909,-51.556,,0
390.909,-49.778,,0
390.909,-48.000,,0
390.909,-46.222,,0
390.909,-44.444,,0
390.909,-42.667,,0
390.909,-40.889,,0
390.909,-39.111,,0
390.909,-37.333,,0
390.909,-35.556,,0
390.909,-33.778,,0
390.909,-32.000,,0
390.909,-30.222,,0
390.909,-28.444,,0
390.909,-26.667,,0
390.909,-24.889,,0
390.909,-23.111,,0
390.909,-21.333,,0
390.909,-19.556,,0
390.909,-17.778,,0
390.909,-16.000,,0
390.909,-14.222,,0
390.909,-12.444,,0
390.909,-10.667,,0
390.909,-8.889,,0
390.909,-7.111,,0
390.909,-5.333,,0
390.909,-3.556,,0
390.909,-1.778,,0
390.909,0.000,,0
390.909,1.778,,0
390.909,3.556,,0
390.909,5.333,,0
390.909,7.111,,0
390.909,8.889,,0
390.909,10.667,,0
390.909,12.444,,0
390.909,14.222,,0
390.909,16.000,,0
390.909,17.778,,0
390.909,19.556,,0
390.909,21.333,,0
390.909,23.111,,0
390.909,24.889,,0
390.909,26.667,,0
390.909,28.444,,0
390.909,30.222,,0
390.909,32.000,,0
390.909,33.778,,0
390.909,35.556,,0
390.909,37.333,,0
390.909,39.111,,0
390.909,40.889,,0
390.909,42.667,,0
390.909,44.444,,0
390.909,46.222,,0
390.909,48.000,,0
390.909,49.778,,0
390.909,51.556,,0
390.909,53.333,,0
390.909,55.111,,0
390.909,56.889,,0
390.909,58.667,,0
390.909,60.444,,0
390.909,62.222,,0
390.909,64.000,,0
390.909,65.778,,0
390.909,67.556,,0
390.909,69.333,,0
390.909,71.111,,0
390.909,72.889,,0
390.909,74.667,,0
390.909,76.444,,0
390.909,78.222,,0
390.909,80.000,,0
427.273,-80.000,,0
427.273,-78.222,,0
427.273,-76.444,,0
427.273,-74.667,,0
427.273,-72.889,,0
427.273,-71.111,,0
427.273,-69.333,,0
427.273,-67.556,,0
427.273,-65.778,,0
427.273,-64.000,,0
427.273,-62.222,,0
427.273,-60.444,,0
427.273,-58.667,,0
427.273,-56.889,,0
427.273,-55.111,,0
427.273,-53.333,,0
427.273,-51.556,,0
427.273,-49.778,,0
427.273,-48.000,,0
427.273,-46.222,,0
427.273,-44.444,,0
427.273,-42.667,,0
427.273,-40.889,,0
427.273,-39.111,,0
427.273,-37.333,,0
427.273,-35.556,,0
427.273,-33.778,,0
427.273,-32.000,,0
427.273,-30.222,,0
427.273,-28.444,,0
427.273,-26.667,,0
427.273,-24.889,,0
427.273,-23.111,,0
427.273,-21.333,,0
427.273,-19.556,,0
427.273,-17.778,,0
427.273,-16.000,,0
427.273,-14.222,,0
427.273,-12.444,,0
427.273,-10.667,,0
427.273,-8.889,,0
427.273,-7.111,,0
427.273,-5.333,,0
427.273,-3.556,,0
427.273,-1.778,,0
427.273,0.000,,0
427.273,1.778,,0
427.273,3.556,,0
427.273,5.333,,0
427.273,7.111,,0
427.273,8.889,,0
427.273,10.667,,0
427.273,12.444,,0
427.273,14.222,,0
427.273,16.000,,0
427.273,17.778,,0
427.273,19.556,,0
427.273,21.333,,0
427.273,23.111,,0
427.273,24.889,,0
427.273,26.667,,0
427.273,28.444,,0
427.273,30.222,,0
427.273,32.000,,0
427.273,33.778,,0
427.273,35.556,,0
427.273,37.333,,0
427.273,39.111,,0
427.273,40.889,,0
427.273,42.667,,0
427.273,44.444,,0
427.273,46.222,,0
427.273,48.000,,0
427.273,49.778,,0
427.273,51.556,,0
427.273,53.333,,0
427.273,55.111,,0
427.273,56.889,,0
427.273,58.667,,0
427.273,60.444,,0
427.273,62.222,,0
427.273,64.000,,0
427.273,65.778,,0
427.273,67.556,,0
427.273,69.333,,0
427.273,71.111,,0
427.273,72.889,,0
427.273,74.667,,0
427.273,76.444,,0
427.273,78.222,,0
427.273,80.000,,0
463.636,-80.000,,0
463.636,-78.222,,0
463.636,-76.444,,0
463.636,-74.667,,0
463.636,-72.889,,0
463.636,-71.111,,0
463.636,-69.333,,0
463.636,-67.556,,0
463.636,-65.778,,0
463.636,-64.000,,0
463.636,-62.222,,0
463.636,-60.444,,0
463.636,-58.667,,0
463.636,-56.889,,0
463.636,-55.111,,0
463.636,-53.333,,0
463.636,-51.556,,0
463.636,-49.778,,0
463.636,-48.000,,0
463.636,-46.222,,0
463.636,-44.444,,0
463.636,-42.667,,0
463.636,-40.889,,0
463.636,-39.111,,0
463.636,-37.333,,0
463.636,-35.556,,0
463.636,-33.778,,0
463.636,-32.000,,0
463.636,-30.222,,0
463.636,-28.444,,0
463.636,-26.667,,0
463.636,-24.889,,0
463.636,-23.111,,0
463.636,-21.333,,0
463.636,-19.556,,0
463.636,-17.778,,0
463.636,-16.000,,0
463.636,-14.222,,0
463.636,-12.444,,0
463.636,-10.667,,0
463.636,-8.889,,0
463.636,-7.111,,0
463.636,-5.333,,0
463.636,-3.556,,0
463.636,-1.778,,0
463.636,0.000,,0
463.636,1.778,,0
463.636,3.556,,0
463.636,5.333,,0
463.636,7.111,,0
463.636,8.889,,0
463.636,10.667,,0
463.636,12.444,,0
463.636,14.222,,0
463.636,16.000,,0
463.636,17.778,,0
463.636,19.556,,0
463.636,21.333,,0
463.636,23.111,,0
463.636,24.889,,0
463.636,26.667,,0
463.636,28.444,,0
463.636,30.222,,0
463.636,32.000,,0
463.636,33.778,,0
463.636,35.556,,0
463.636,37.333,,0
463.636,39.111,,0
463.636,40.889,,0
463.636,42.667,,0
463.636,44.444,,0
463.636,46.222,,0
463.636,48.000,,0
463.636,49.778,,0
463.636,51.556,,0
463.636,53.333,,0
463.636,55.111,,0
463.636,56.889,,0
463.636,58.667,,0
463.636,60.444,,0
463.636,62.222,,0
463.636,64.000,,0
463.636,65.778,,0
463.636,67.556,,0
463.636,69.333,,0
463.636,71.111,,0
463.636,72.889,,0
463.636,74.667,,0
463.636,76.444,,0
463.636,78.222,,0
463.636,80.000,,0
500.000,-80.000,,0
500.000,-78.222,,0
500.000,-76.444,,0
500.000,-74.667,,0
500.000,-72.889,,0
500.000,-71.111,,0
500.000,-69.333,,0
500.000,-67.556,,0
500.000,-65.778,,0
500.000,-64.000,,0
500.000,-62.222,,0
500.000,-60.444,,0
500.000,-58.667,,0
500.000,-56.889,,0
500.000,-55.111,,0
500.000,-53.333,,0
500.000,-51.556,,0
500.000,-49.778,,0
500.000,-48.000,,0
500.000,-46.222,,0
500.000,-44.444,,0
500.000,-42.667,,0
500.000,-40.889,,0
500.000,-39.111,,0
500.000,-37.333,,0
500.000,-35.556,,0
500.000,-33.778,,0
500.000,-32.000,,0
500.000,-30.222,,0
500.000,-28.444,,0
500.000,-26.667,,0
500.000,-24.889,,0
500.000,-23.111,,0
500.000,-21.333,,0
500.000,-19.556,,0
500.000,-17.778,,0
500.000,-16.000,,0
500.000,-14.222,,0
500.000,-12.444,,0
500.000,-10.667,,0
500.000,-8.889,,0
500.000,-7.111,,0
500.000,-5.333,,0
500.000,-3.556,,0
500.000,-1.778,,0
500.000,0.000,,0
500.000,1.778,,0
500.000,3.556,,0
500.000,5.333,,0
500.000,7.111,,0
500.000,8.889,,0
500.000,10.667,,0
500.000,12.444,,0
500.000,14.222,,0
500.000,16.000,,0
500.000,17.778,,0
500.000,19.556,,0
500.000,21.333,,0
500.000,23.111,,0
500.000,24.889,,0
500.000,26.667,,0
500.000,28.444,,0
500.000,30.222,,0
500.000,32.000,,0
500.000,33.778,,0
500.000,35.556,,0
500.000,37.333,,0
500.000,39.111,,0
500.000,40.889,,0
500.000,42.667,,0
500.000,44.444,,0
500.000,46.222,,0
500.000,48.000,,0
500.000,49.778,,0
500.000,51.556,,0
500.000,53.333,,0
500.000,55.111,,0
500.000,56.889,,0
500.000,58.667,,0
500.000,60.444,,0
500.000,62.222,,0
500.000,64.000,,0
500.000,65.778,,0
500.000,67.556,,0
500.000,69.333,,0
500.000,71.111,,0
500.000,72.889,,0
500.000,74.667,,0
500.000,76.444,,0
500.000,78.222,,0
500.000,80.000,,0
536.364,-80.000,,0
536.364,-78.222,,0
536.364,-76.444,,0
536.364,-74.667,,0
536.364,-72.889,,0
536.364,-71.111,,0
536.364,-69.333,,0
536.364,-67.556,,0
536.364,-65.778,,0
536.364,-64.000,,0
536.364,-62.222,,0
536.364,-60.444,,0
536.364,-58.667,,0
536.364,-56.889,,0
536.364,-55.111,,0
536.364,-53.333,,0
536.364,-51.556,,0
536.364,-49.778,,0
536.364,-48.000,,0
536.364,-46.222,,0
536.364,-44.444,,0
536.364,-42.667,,0
536.364,-40.889,,0
536.364,-39.111,,0
536.364,-37.333,,0
536.364,-35.556,,0
536.364,-33.778,,0
536.364,-32.000,,0
536.364,-30.222,,0
536.364,-28.444,,0
536.364,-26.667,,0
536.364,-24.889,,0
536.364,-23.111,,0
536.364,-21.333,,0
536.364,-19.556,,0
536.364,-17.778,,0
536.364,-16.000,1231.3931,0
536.364,-14.222,1577.5316,0
536.364,-12.444,2220.2525,0
536.364,-10.667,3813.8926,0
536.364,-8.889,14290.0948,0
536.364,-7.111,,0
536.364,-5.333,,0
536.364,-3.556,,0
536.364,-1.778,,0
536.364,0.000,,0
536.364,1.778,,0
536.364,3.556,,0
536.364,5.333,,0
536.364,7.111,,0
536.364,8.889,14290.0948,0
536.364,10.667,3813.8926,0
536.364,12.444,2220.2525,0
536.364,14.222,1577.5316,0
536.364,16.000,1231.3931,0
536.364,17.778,,0
536.364,19.556,,0
536.364,21.333,,0
536.364,23.111,,0
536.364,24.889,,0
536.364,26.667,,0
536.364,28.444,,0
536.364,30.222,,0
536.364,32.000,,0
536.364,33.778,,0
536.364,35.556,,0
536.364,37.333,,0
536.364,39.111,,0
536.364,40.889,,0
536.364,42.667,,0
536.364,44.444,,0
536.364,46.222,,0
536.364,48.000,,0
536.364,49.778,,0
536.364,51.556,,0
536.364,53.333,,0
536.364,55.111,,0
536.364,56.889,,0
536.364,58.667,,0
536.364,60.444,,0
536.364,62.222,,0
536.364,64.000,,0
536.364,65.778,,0
536.364,67.556,,0
536.364,69.333,,0
536.364,71.111,,0
536.364,72.889,,0
536.364,74.667,,0
536.364,76.444,,0
536.364,78.222,,0
536.364,80.000,,0
572.727,-80.000,,0
572.727,-78.222,,0
572.727,-76.444,,0
572.727,-74.667,,0
572.727,-72.889,,0
572.727,-71.111,,0
572.727,-69.333,,0
572.727,-67.556,,0
572.727,-65.778,,0
572.727,-64.000,,0
572.727,-62.222,,0
572.727,-60.444,,0
572.727,-58.667,,0
572.727,-56.889,,0
572.727,-55.111,,0
572.727,-53.333,,0
572.727,-51.556,,0
572.727,-49.778,,0
572.727,-48.000,,0
572.727,-46.222,,0
572.727,-44.444,,0
572.727,-42.667,,0
572.727,-40.889,,0
572.727,-39.111,,0
572.727,-37.333,,0
